transition_at,outgoing,incoming,pre_bom_share,post_bom_share,delta_pp,pre_nt_share,post_nt_share,nt_delta_pp
1972-10,Joseph Fielding Smith,Harold B. Lee,0.12921118009467922,0.14683348731989673,1.7622307225217515,0.3866307296888603,0.35513490903636,-3.149582065250028
1974-04,Harold B. Lee,Spencer W. Kimball,0.13313996756802918,0.15624870148661715,2.310873391858798,0.36516480705501037,0.36887532684106655,0.3710519786056188
1986-04,Spencer W. Kimball,Ezra Taft Benson,0.2271527498949835,0.34750828763980446,12.035553774482096,0.35817825014968424,0.26543288510634694,-9.27453650433373
1994-10,Ezra Taft Benson,Howard W. Hunter,0.3228643790879728,0.25746588943383464,-6.539848965413814,0.2782131289787698,0.313181932047698,3.4968803068928187
1995-04,Howard W. Hunter,Gordon B. Hinckley,0.3126582962190004,0.2617151812185372,-5.094311500046317,0.2821036435633354,0.313181932047698,3.1078288484362613
2008-04,Gordon B. Hinckley,Thomas S. Monson,0.3442547213941329,0.3266138964363106,-1.7640824957822265,0.2542642879749979,0.26402078731682,0.97564993418221
2018-04,Thomas S. Monson,Russell M. Nelson,0.3444578054617189,0.37931014851496603,3.4852343053247137,0.29698105750542775,0.25691356971121715,-4.00674877942106
