Year,bom_raw_share,bom_va_share,dc_raw_share,dc_va_share,pgp_raw_share,pgp_va_share,nt_raw_share,nt_va_share,ot_raw_share,ot_va_share
1971,0.1288135593220339,0.06907073943208025,0.2542372881355932,0.24638274739081434,0.08983050847457627,0.5009446259863505,0.3525423728813559,0.15689227285403662,0.17457627118644067,0.026709614336718274
1972,0.11149825783972125,0.06508572477709822,0.2926829268292683,0.308783136801693,0.06794425087108014,0.41248078077486,0.39547038327526135,0.19159727814178196,0.13240418118466898,0.022053079504566798
1973,0.15577190542420027,0.07823458509145964,0.29763560500695413,0.27016747006220165,0.09457579972183588,0.49399552300607363,0.33936022253129344,0.1414582541723548,0.11265646731571627,0.01614416766791036
1974,0.12366230677764566,0.07576406568467438,0.2437574316290131,0.2699120758210862,0.06539833531510107,0.4167023612657091,0.4149821640903686,0.2110148726493542,0.15219976218787157,0.026606624579176216
1975,0.18759231905465287,0.0977477511652994,0.2673559822747415,0.25177937437542364,0.0915805022156573,0.4962814956801973,0.30576070901033975,0.13223033725565952,0.14771048744460857,0.021961041523420047
1976,0.14420485175202155,0.10038038617538017,0.27897574123989216,0.35097319683603073,0.03908355795148248,0.2829413501915388,0.4191374663072776,0.24214927885044202,0.11859838274932614,0.023555787946608252
1977,0.17465753424657535,0.09918040847596007,0.2756849315068493,0.2829372437125409,0.07363013698630137,0.4348380261808759,0.3424657534246575,0.16140367651993195,0.13356164383561644,0.02164064511069123
1978,0.16606498194945848,0.08655274648852766,0.30144404332129965,0.2839540182715473,0.08844765342960288,0.47942695228862703,0.296028880866426,0.12805442213976048,0.148014440433213,0.022011860811537567
1979,0.17944535073409462,0.10850091509140197,0.29853181076672103,0.3262348308634179,0.05872756933115824,0.3692976600929172,0.3523654159869494,0.17682846361116183,0.11092985318107668,0.019138130341100987
1980,0.1344,0.0818178086813519,0.3584,0.3943257132141199,0.0544,0.3444140136872145,0.304,0.15359598559670892,0.1488,0.025846478820604698
1981,0.17758620689655172,0.10590536900638294,0.2637931034482759,0.2843221571478455,0.06379310344827586,0.39565423294811797,0.4,0.19798233613074584,0.09482758620689655,0.01613590476690783
1982,0.1563380281690141,0.1105240843496541,0.2774647887323944,0.3545183297827083,0.036619718309859155,0.2692406523256438,0.4126760563380282,0.24213594980930025,0.11690140845070422,0.023580983732693656
1983,0.2131979695431472,0.1494825099765808,0.2436548223350254,0.3087598704778606,0.04230118443316413,0.30845597296754773,0.34856175972927245,0.20283587193105404,0.15228426395939088,0.030465774646956757
1984,0.23946037099494097,0.17237284506598055,0.2580101180438449,0.33566839953284366,0.03541315345699832,0.2651142912845785,0.33389544688026984,0.1994818569047323,0.13322091062394603,0.02736260721186491
1985,0.29539641943734013,0.23758824527926384,0.19948849104859334,0.28998537143021147,0.02557544757033248,0.21393227280557092,0.3388746803069054,0.22621247459065882,0.14066496163682865,0.03228163589429495
1986,0.3715469613259669,0.23649100192800704,0.20027624309392264,0.2303927799511062,0.058011049723756904,0.38401215480354456,0.2361878453038674,0.12477171890980354,0.13397790055248618,0.024332344407538738
1987,0.3888888888888889,0.19988906471187018,0.22584541062801933,0.20980377216816307,0.09057971014492754,0.4842033244573253,0.2246376811594203,0.09583051342910591,0.07004830917874397,0.010273325233535417
1988,0.3070362473347548,0.2157856455856307,0.20042643923240938,0.25458126163881567,0.042643923240938165,0.31169037695702206,0.3336886993603412,0.19464000525352815,0.1162046908315565,0.02330271056500355
1989,0.32917705735660846,0.22349143919748785,0.27556109725685785,0.338133157981401,0.03865336658354115,0.2729304545351139,0.26059850374064836,0.14684560672334623,0.09600997506234414,0.01859934156265116
1990,0.2921615201900237,0.17937132378102053,0.24821852731591448,0.2754245914380728,0.060570071258907364,0.3867420737132247,0.2648456057007126,0.13495235752010484,0.1342042755344418,0.023509653547577246
1991,0.29044585987261146,0.20854379130240588,0.23057324840764332,0.2992123493536968,0.03821656050955414,0.2853757144138186,0.2980891719745223,0.17763804367118807,0.14267515923566879,0.029230101258890733
1992,0.35432098765432096,0.26707055620372766,0.2111111111111111,0.2875932880504878,0.030864197530864196,0.24194545161313308,0.2839506172839506,0.17763545661982197,0.11975308641975309,0.025755247512829437
1993,0.34917555771096026,0.19158299317533728,0.2822502424830262,0.2798890860066661,0.07371483996120272,0.42063110501607387,0.20659553831231814,0.09407879872232504,0.08826382153249272,0.013818017079597634
1994,0.24159402241594022,0.1462043539454095,0.2627646326276463,0.2873952281909773,0.05977584059775841,0.37621244066777537,0.34869240348692404,0.17513555137701203,0.08717310087173101,0.015052425818825713
1995,0.25458996328029376,0.1713110632470534,0.2582619339045288,0.31408200340936576,0.046511627906976744,0.3254910201694015,0.28518971848225216,0.15927063191352137,0.1554467564259486,0.029845281260658073
1996,0.26229508196721313,0.15092450680112918,0.27490542244640603,0.2858850503076124,0.06809583858764187,0.4074961683630487,0.2900378310214376,0.13851026906060648,0.10466582597730138,0.01718400546760318
1997,0.2762039660056657,0.18054743822009622,0.23512747875354106,0.277781506481012,0.04815864022662889,0.32739268797244103,0.37110481586402266,0.2013333487272584,0.06940509915014165,0.01294501859919244
1998,0.2599388379204893,0.16681042456841508,0.2599388379204893,0.3014822232758109,0.05198776758409786,0.34696568310230336,0.30428134556574926,0.16206343857507102,0.12385321100917432,0.022678230478399574
1999,0.35900962861072905,0.2639994682817664,0.20357634112792297,0.2705594963403903,0.0343878954607978,0.2629879760661274,0.29436038514442914,0.17965281421453339,0.10866574965612105,0.022800245097182602
2000,0.33505687693898656,0.20026044408352592,0.22440537745604963,0.24240882145212947,0.0641158221302999,0.3985430072378318,0.2905894519131334,0.14414984877685807,0.08583247156153051,0.014637878449654652
2001,0.36363636363636365,0.23963444315888185,0.20930232558139536,0.24928406015628668,0.0507399577167019,0.34774858728172614,0.25792811839323465,0.1410711902345698,0.11839323467230443,0.02226171916853565
2002,0.2888165038002172,0.18601997255523142,0.24321389793702497,0.28311604269403357,0.053203040173724216,0.35637510531633815,0.28013029315960913,0.14974604187296434,0.13463626492942454,0.024742837561432553
2003,0.2661955241460542,0.14976294130609305,0.25559481743227325,0.25989275756915703,0.07420494699646643,0.4341799962112927,0.29799764428739695,0.13914709677876771,0.10600706713780919,0.01701720813468944
2004,0.29334916864608074,0.18841703068891547,0.2921615201900237,0.33915391195132066,0.04631828978622328,0.3094005977628506,0.27315914489311166,0.14561588184976407,0.09501187648456057,0.017412577747149036
2005,0.3405698778833107,0.17807122107621218,0.24423337856173677,0.23079746903760429,0.08683853459972862,0.47220798704512673,0.24559023066485752,0.10657523444575465,0.08276797829036635,0.01234808839530203
2006,0.42378048780487804,0.2692059429989009,0.1951219512195122,0.22402079724229185,0.054878048780487805,0.36255649301722476,0.2459349593495935,0.12966467047872346,0.08028455284552846,0.014552096262859016
2007,0.31561461794019935,0.20599297788154985,0.28349944629014395,0.3344152260325308,0.044296788482835,0.30067746946920954,0.2602436323366556,0.14097208552702903,0.09634551495016612,0.0179422410896808
2008,0.3105835806132542,0.16775578790545417,0.27002967359050445,0.26360220190458766,0.0781404549950544,0.43894316988255144,0.26211671612265086,0.11750367387999476,0.0791295746785361,0.012195166427412004
2009,0.35364526659412404,0.22534009570532104,0.2546245919477693,0.29323073734737737,0.05005440696409141,0.3317006208782326,0.25244831338411317,0.13350600638153234,0.08922742110990206,0.016222539687536584
2010,0.3153846153846154,0.20548629793008552,0.24395604395604395,0.2872714504649796,0.04945054945054945,0.3350787018511499,0.2802197802197802,0.15153008196067042,0.11098901098901098,0.020633467793114427
2011,0.32624867162592985,0.21531827574998874,0.24867162592986186,0.2966175865228099,0.04675876726886291,0.32094346248597666,0.2667375132837407,0.14610798316041737,0.11158342189160468,0.02101269208080726
2012,0.33443344334433445,0.2434115353647003,0.24862486248624863,0.3270502857160471,0.0297029702970297,0.22483539187634155,0.31353135313531355,0.18939571048469278,0.0737073707370737,0.01530707655821824
2013,0.26033421284080915,0.16273743534547044,0.2832014072119613,0.3199559196631224,0.051890941072999124,0.33735030516209674,0.316622691292876,0.16426913251961356,0.08795074758135445,0.015687207309696898
