Year,bom_per100,dc_per100,pgp_per100,nt_per100,ot_per100
1971,1.150817686250757,4.105090311986864,8.346456692913385,2.614050521553349,0.4450205227910996
1972,0.9691096305269533,4.597701149425287,6.141732283464567,2.8528339826567803,0.3283646575934327
1973,1.6959418534221684,5.856595511767926,10.708661417322835,3.066482342591429,0.34996759559300067
1974,1.574803149606299,5.610290093048714,8.661417322834646,4.386075153952495,0.5530352127889393
1975,1.9230769230769231,4.953475643130815,9.763779527559056,2.601482970968958,0.43205875999135884
1976,1.62023016353725,5.665024630541872,4.566929133858268,3.9085082317456323,0.3802117087923958
1977,1.5445184736523319,4.406130268199234,6.771653543307086,2.51351011687822,0.3370058327932599
1978,1.3930950938824955,4.570333880678708,7.716535433070866,2.061078295840141,0.3542881831929142
1979,1.6656571774682012,5.008210180623974,5.669291338582677,2.714590926228478,0.293799956794124
1980,1.2719563900666264,6.130268199233716,5.354330708661418,2.3878346110343096,0.4018146467919637
1981,1.5596608116293156,4.1871921182266005,5.826771653543307,2.915671735578736,0.23763231799524737
1982,1.6807995154451847,5.391351943076081,4.094488188976378,3.682292321226593,0.3586087707928278
1983,1.9079345850999394,3.9408866995073892,3.937007874015748,2.5889154203845672,0.38885288399222295
1984,2.150211992731678,4.1871921182266005,3.3070866141732282,2.488375015709438,0.34132642039317346
1985,3.4978800726832224,4.269293924466338,3.149606299212598,3.3304009048636423,0.47526463599049473
1986,4.073288915808601,3.968253968253968,6.6141732283464565,2.1490511499308784,0.419096997191618
1987,4.875832828588734,5.11767925561029,11.811023622047244,2.3375644086967453,0.2505940807949881
1988,4.360993337371291,5.14504652435687,6.299212598425196,3.9336433329144147,0.47094404839058107
1989,3.9975772259236826,6.048166392993979,4.881889763779528,2.6266180721377403,0.3326852451933463
1990,3.725015142337977,5.71975916803503,8.031496062992126,2.8025637803192156,0.4882263987902355
1991,3.4524530587522717,4.953475643130815,4.724409448818897,2.9408068367475177,0.4839058111903219
1992,4.345850999394306,4.679802955665025,3.937007874015748,2.8905366344099535,0.419096997191618
1993,5.451241671714112,7.963875205254515,11.968503937007874,2.6768882744753046,0.39317347159213656
1994,2.9376135675348274,5.7744937055281875,7.559055118110236,3.5189141636295087,0.3024411319939512
1995,3.149606299212598,5.7744937055281875,5.984251968503937,2.9282392861631266,0.5487146251890257
1996,3.149606299212598,5.966064586754242,8.503937007874015,2.8905366344099535,0.3586087707928278
1997,2.952755905511811,4.542966611932129,5.354330708661418,3.2926982531104687,0.21170879239576584
1998,2.57419745608722,4.652435686918445,5.354330708661418,2.5009425662938294,0.34996759559300067
1999,3.952150211992732,4.050355774493705,3.937007874015748,2.689455825059696,0.34132642039317346
2000,4.906117504542702,5.938697318007663,9.763779527559056,3.5314817142139,0.3586087707928278
2001,5.208964264082374,5.41871921182266,7.559055118110236,3.066482342591429,0.4839058111903219
2002,4.02786190187765,6.130268199233716,7.716535433070866,3.2424280507729044,0.5357528623892849
2003,3.422168382798304,5.938697318007663,9.921259842519685,3.179590297850949,0.38885288399222295
2004,3.740157480314961,6.732348111658457,6.141732283464567,2.8905366344099535,0.34564700799308706
2005,3.800726832222895,4.926108374384237,10.078740157480315,2.2747266557747894,0.2635558435947289
2006,6.3143549364021805,5.254515599343185,8.503937007874015,3.041347241422647,0.34132642039317346
2007,4.315566323440339,7.006020799124248,6.299212598425196,2.9533743873319094,0.37589112119248214
2008,4.754694124772866,7.471264367816093,12.440944881889763,3.3304009048636423,0.34564700799308706
2009,4.921259842519685,6.403940886699508,7.244094488188976,2.915671735578736,0.3542881831929142
2010,4.345850999394306,6.075533661740558,7.086614173228346,3.204725399019731,0.43637934759127245
2011,4.648697758933979,6.403940886699508,6.929133858267717,3.154455196682167,0.45366169799092676
2012,4.603270745003028,6.185002736726874,4.251968503937007,3.581751916551464,0.2894793691942104
2013,4.482132041187159,8.812260536398467,9.291338582677165,4.524318210380797,0.43205875999135884
2014,4.633555420956996,6.102900930487137,10.236220472440944,4.009048636420761,0.2981205443940376
2015,4.951544518473653,5.528188286808977,7.086614173228346,3.8582380294080685,0.49254698639014904
2016,6.586917019987887,6.130268199233716,6.929133858267717,3.506346613045117,0.2721970187945561
2017,5.405814657783162,7.033388067870828,6.929133858267717,3.807967827070504,0.3974940591920501
2018,5.693519079345851,6.513409961685824,7.874015748031496,3.7199949729797663,0.2981205443940376
2019,7.086614173228346,7.142857142857142,9.921259842519685,3.456076410707553,0.4579822855908404
2020,7.995154451847365,6.65024630541872,15.433070866141732,3.430941309538771,0.5962410887880752
2021,6.420351302241066,7.361795292829775,9.448818897637794,4.348372502199322,0.47958522359040834
2022,7.1017565112053305,7.498631636562671,9.606299212598426,5.165263290184742,0.40613523439187726
2023,7.2986069049061175,7.498631636562671,8.031496062992126,5.630262661807214,0.4277381723914452
2024,8.676559660811629,8.264915161466886,11.338582677165354,4.637426165640317,0.5573558003888529
2025,7.798304058146578,7.498631636562671,10.078740157480315,5.680532864144778,0.5659969755886801
