Year,christ_index,rolling_5yr
1971,0.4813559322033898,
1972,0.5069686411149826,
1973,0.4951321279554937,
1974,0.5386444708680143,
1975,0.4933530280649926,0.5030908400413746
1976,0.5633423180592991,0.5194881172125565
1977,0.5171232876712328,0.5215190465238065
1978,0.4620938628158845,0.5149113934958847
1979,0.5318107667210441,0.5135446526664906
1980,0.4384,0.5025540470534922
1981,0.5775862068965517,0.5054028248209426
1982,0.5690140845070423,0.5157809841881045
1983,0.5617597292724197,0.5357141574794115
1984,0.5733558178752108,0.544023167710245
1985,0.6342710997442456,0.583197387659094
1986,0.6077348066298343,0.5892271076057505
1987,0.6135265700483092,0.5981296047140039
1988,0.6407249466950959,0.6139226481985391
1989,0.5897755610972568,0.6172065968429484
1990,0.5570071258907363,0.6017538020722466
1991,0.5885350318471337,0.5979138471157064
1992,0.6382716049382715,0.6028628540936989
1993,0.5557710960232785,0.5858720839593353
1994,0.5902864259028643,0.5859742569204569
1995,0.539779681762546,0.5825287680948188
1996,0.5523329129886507,0.5752883443231221
1997,0.6473087818696883,0.5770957797094056
1998,0.5642201834862386,0.5787855972019976
1999,0.6533700137551581,0.5914023147724563
2000,0.6256463288521199,0.6085756441903711
2001,0.6215644820295982,0.6224219579985607
2002,0.5689467969598263,0.6067495610165883
2003,0.5641931684334511,0.6067441580060308
2004,0.5665083135391924,0.5893718179628376
2005,0.5861601085481682,0.5814745739020473
2006,0.6697154471544715,0.591104766927022
2007,0.575858250276855,0.5924870575904275
2008,0.5727002967359051,0.5941884832509186
2009,0.6060935799782372,0.6021055365387273
2010,0.5956043956043956,0.6039943939499729
2011,0.5929861849096705,0.5886485415010126
2012,0.647964796479648,0.6030698507415713
2013,0.5769569041336852,0.6039211722211273
2014,0.6364562118126273,0.6099936985880053
2015,0.6371859296482412,0.6183100053967745
2016,0.6832535885167464,0.6363634861181897
2017,0.6267806267806268,0.6321266521783854
2018,0.653061224489796,0.6473475162496076
2019,0.6334185848252344,0.646739990852129
2020,0.62578125,0.6444590549224807
2021,0.6363636363636365,0.6350810644918587
2022,0.6722689075630253,0.6441787206483384
2023,0.6868537666174298,0.6509372290738652
2024,0.6519031141868512,0.6546341349461885
2025,0.6733983286908078,0.6641575506843502
