prophet,n_personal_pre,n_conf_during,cos_personal_vs_during,cos_confpre_vs_during,delta,personal_bom_share,confpre_bom_share,during_bom_share
Harold B. Lee,6,114,0.9806734422569738,0.9909018536957094,-0.01022841143873554,0.1935483870967742,0.12323491655969192,0.14759358288770053
Spencer W. Kimball,6,900,0.965969179809085,0.9918137457809165,-0.02584456597183149,0.08928571428571429,0.13519430760810072,0.18701825557809332
Ezra Taft Benson,40,576,0.9028741504190488,0.939813921644005,-0.036939771224956175,0.3032258064516129,0.16648764769065522,0.3141831238779174
Howard W. Hunter,47,32,0.7684735177084214,0.9724183863440613,-0.20394486863563988,0.140625,0.2414914764170833,0.2686084142394822
Gordon B. Hinckley,118,894,0.8839892497162695,0.9832353309340744,-0.09924608121780498,0.1163575042158516,0.2436548223350254,0.32184349495919345
Thomas S. Monson,165,713,0.7877931151935247,0.9914164960367908,-0.20362338084326614,0.09553571428571428,0.27505172923440735,0.3342042010659421
Russell M. Nelson,70,522,0.9613837075559685,0.9790318767442425,-0.017648169188274054,0.2943154034229829,0.2828172574251738,0.3756032446863128
