prophet,n_pre_talks,bom,dc,pgp,nt,ot
Harold B. Lee,6,0.1935483870967742,0.2903225806451613,0.0967741935483871,0.3870967741935484,0.03225806451612903
Spencer W. Kimball,6,0.08928571428571429,0.35714285714285715,0.017857142857142856,0.35714285714285715,0.17857142857142858
Ezra Taft Benson,40,0.3032258064516129,0.432258064516129,0.03870967741935484,0.17204301075268819,0.053763440860215055
Howard W. Hunter,47,0.140625,0.13020833333333334,0.026041666666666668,0.4973958333333333,0.20572916666666666
Gordon B. Hinckley,118,0.1163575042158516,0.28499156829679595,0.03541315345699832,0.3827993254637437,0.18043844856661045
Thomas S. Monson,165,0.09553571428571428,0.16428571428571428,0.020535714285714286,0.5294642857142857,0.19017857142857142
Russell M. Nelson,70,0.2943154034229829,0.2930929095354523,0.06387530562347188,0.22127139364303178,0.12744498777506114
