Speaker,n_talks,tot,bom_share,weight,contrib_vs_baseline_pp
David A. Bednar,29,744,0.44489247311827956,0.043010752688172046,1.169462992484089
Dale G. Renlund,21,571,0.4658493870402802,0.03300959648514279,0.9667093367682322
D. Todd Christofferson,29,846,0.35106382978723405,0.04890738813735692,0.8709012085130845
Russell M. Nelson,52,937,0.3244397011739594,0.05416811192045323,0.8203618294502949
Quentin L. Cook,29,567,0.35978835978835977,0.032778355879292405,0.6122866827588838
Dallin H. Oaks,35,674,0.32047477744807124,0.03896404208579027,0.574651239192385
Gerrit W. Gong,16,491,0.37067209775967414,0.028384784368135043,0.5611097656574581
Ulisses Soares,20,478,0.35564853556485354,0.027633252399121285,0.5047385103432859
Ronald A. Rasband,22,395,0.32151898734177214,0.02283500982772575,0.33916077402322287
Jeffrey R. Holland,27,441,0.2925170068027211,0.025494276795005204,0.30471952614009457
Henry B. Eyring,56,393,0.29770992366412213,0.022719389524800553,0.28335076509000195
Brian K. Ashton,2,180,0.4388888888888889,0.01040582726326743,0.27668736891067636
Dieter F. Uchtdorf,49,773,0.23415265200517466,0.04468724708058735,0.27330865386918474
G̩rald Causs̩,7,100,0.61,0.005781015146259683,0.2526347974530414
Marcus B. Nash,2,92,0.5760869565217391,0.005318533934558909,0.21438724640046794
Reyna I. Aburto,4,200,0.355,0.011562030292519366,0.210437822446839
Benjamin M. Z. Tai,1,66,0.7121212121212122,0.003815469996531391,0.20570300840479766
James R. Rasband,1,75,0.64,0.004335761359694762,0.20248338216886538
Neil L. Andersen,30,522,0.23946360153256704,0.030176899063475548,0.20058969311532848
Robert D. Hales,12,309,0.284789644012945,0.017863336801942423,0.19970731208226256
Brian K. Taylor,2,106,0.49056603773584906,0.0061278760550352645,0.19460523354857637
L. Todd Budge,3,83,0.5783132530120482,0.004798242571395537,0.19448281205136142
Douglas D. Holmes,2,107,0.4766355140186916,0.006185686206497861,0.18782414713762866
James J. Hamula,1,126,0.40476190476190477,0.007284079084287201,0.16882279310855683
Richard G. Scott,6,92,0.4782608695652174,0.005318533934558909,0.16235811008413079
