event,shock_conference,pre_bom_share,post_bom_share,delta_pp,pre_bom_per_talk,post_bom_per_talk
Benson 1986,1986-10,0.29945549685911604,0.34573253269190773,4.627703583279169,3.3656716417910446,4.5
Hinckley 2005,2005-10,0.30447087902409514,0.3569202920051253,5.244941298103018,3.433333333333333,3.9655172413793105
Nelson 2018,2018-10,0.3857272576409386,0.39141763971359855,0.5690382072659927,5.576158940397351,6.9186046511627906
