quartile,n_talks,cites_per_talk,bom_share,dc_share,pgp_share,nt_share,ot_share
0,1092,11.218864468864469,0.3066688433597257,0.24700024487796915,0.05101624357195331,0.2932821810464452,0.10203248714390661
1,1045,11.730143540669857,0.31628324359601895,0.22409854788709413,0.054495023658019254,0.2947462881383586,0.11037689672050906
2,1070,11.881308411214953,0.29001809171713994,0.25367733815779125,0.058837410524659794,0.2959175646975537,0.10154959490285534
3,1010,10.990099009900991,0.29936936936936936,0.24,0.053603603603603604,0.3053153153153153,0.10171171171171171
