book,share_when_in_curriculum,share_when_not,lift_pp,lift_ratio
bom,0.3993343117463166,0.36411651614088614,3.521779560543048,1.0967212253338263
dc,0.20642072885120608,0.20770340457628733,-0.1282675725081256,0.9938244838706525
nt,0.2822204967665619,0.27798290887422716,0.4237587892334749,1.0152440591023963
ot,0.07174174931361013,0.09117735241260395,-1.9435603098993823,0.7868373824780294
