month,book,in_curr,out_curr,lift_pp
4,bom,0.43633258588553636,0.35989377580843396,7.64388100771024
4,dc,0.23349944629014396,0.2027513883595943,3.074805793054966
4,nt,0.29220114129639563,0.26404354549296005,2.8157595803435576
4,ot,0.07866868381240545,0.0851082701535744,-0.6439586341168951
10,bom,0.3623360376070969,0.36833925647333826,-0.6003218866241389
10,dc,0.1793420114122682,0.21265542079298036,-3.331340938071217
10,nt,0.27223985223672814,0.2919222722554943,-1.9682420018766134
10,ot,0.06481481481481481,0.09724643467163353,-3.2431619856818723
