Speaker,n_talks,bom,dc,pgp,nt,ot,total,cluster,share_bom,share_dc,share_pgp,share_nt,share_ot
Keith B. McMullin,11,48,88,18,55,18,227,2,0.21145374449339208,0.3876651982378855,0.07929515418502203,0.2422907488986784,0.07929515418502203
William Grant Bangerter,11,11,23,6,16,7,63,2,0.1746031746031746,0.36507936507936506,0.09523809523809523,0.25396825396825395,0.1111111111111111
James A. Cullimore,10,15,34,1,24,4,78,2,0.19230769230769232,0.4358974358974359,0.01282051282051282,0.3076923076923077,0.05128205128205128
Dallin H. Oaks,102,699,541,85,682,154,2161,3,0.3234613604812587,0.25034706154558073,0.03933364183248496,0.3155946321147617,0.07126330402591392
M. Russell Ballard,88,167,161,51,199,27,605,3,0.27603305785123966,0.26611570247933886,0.08429752066115702,0.32892561983471075,0.04462809917355372
L. Tom Perry,87,136,101,64,116,89,506,3,0.26877470355731226,0.19960474308300397,0.12648221343873517,0.22924901185770752,0.17588932806324112
Dieter F. Uchtdorf,83,279,240,46,433,116,1114,3,0.2504488330341113,0.21543985637342908,0.04129263913824058,0.388689407540395,0.10412926391382406
Jeffrey R. Holland,64,256,118,37,383,127,921,3,0.2779587404994571,0.1281216069489685,0.04017372421281216,0.4158523344191097,0.13789359391965256
Robert D. Hales,58,318,227,94,381,84,1104,3,0.28804347826086957,0.2056159420289855,0.08514492753623189,0.3451086956521739,0.07608695652173914
Joseph B. Wirthlin,53,214,164,50,258,67,753,3,0.28419654714475434,0.21779548472775564,0.06640106241699867,0.3426294820717131,0.08897742363877822
Neal A. Maxwell,53,750,405,115,607,194,2071,3,0.362143891839691,0.19555770159343314,0.05552873008208595,0.2930951231289232,0.09367455335586673
D. Todd Christofferson,42,395,265,81,335,83,1159,3,0.34081104400345125,0.2286453839516825,0.06988783433994823,0.28904227782571185,0.07161345987920621
Neil L. Andersen,39,195,153,34,246,47,675,3,0.28888888888888886,0.22666666666666666,0.05037037037037037,0.36444444444444446,0.06962962962962962
Ronald A. Rasband,27,141,97,14,139,46,437,3,0.32265446224256294,0.2219679633867277,0.032036613272311214,0.3180778032036613,0.10526315789473684
Gary E. Stevenson,24,77,49,16,91,9,242,3,0.3181818181818182,0.2024793388429752,0.06611570247933884,0.3760330578512397,0.0371900826446281
H. Burke Peterson,21,20,17,1,21,3,62,3,0.3225806451612903,0.27419354838709675,0.016129032258064516,0.3387096774193548,0.04838709677419355
Ulisses Soares,21,171,72,28,155,59,485,3,0.3525773195876289,0.14845360824742268,0.0577319587628866,0.31958762886597936,0.12164948453608247
Gerrit W. Gong,18,193,134,13,143,66,549,3,0.35154826958105645,0.24408014571949,0.023679417122040074,0.2604735883424408,0.12021857923497267
Loren C. Dunn,18,24,25,0,30,4,83,3,0.2891566265060241,0.30120481927710846,0.0,0.3614457831325301,0.04819277108433735
Hartman Rector Jr.,16,67,62,5,58,28,220,3,0.30454545454545456,0.2818181818181818,0.022727272727272728,0.2636363636363636,0.12727272727272726
Paul H. Dunn,15,12,6,0,12,7,37,3,0.32432432432432434,0.16216216216216217,0.0,0.32432432432432434,0.1891891891891892
Rex D. Pinegar,15,18,13,0,18,2,51,3,0.35294117647058826,0.2549019607843137,0.0,0.35294117647058826,0.0392156862745098
Richard C. Edgley,14,41,10,3,26,6,86,3,0.47674418604651164,0.11627906976744186,0.03488372093023256,0.3023255813953488,0.06976744186046512
Bonnie D. Parkin,12,21,7,1,14,3,46,3,0.45652173913043476,0.15217391304347827,0.021739130434782608,0.30434782608695654,0.06521739130434782
Carlos E. Asay,11,71,31,15,55,17,189,3,0.37566137566137564,0.164021164021164,0.07936507936507936,0.291005291005291,0.08994708994708994
Dean L. Larsen,11,27,15,1,19,9,71,3,0.38028169014084506,0.2112676056338028,0.014084507042253521,0.2676056338028169,0.1267605633802817
Adney Y. Komatsu,10,13,14,0,16,2,45,3,0.28888888888888886,0.3111111111111111,0.0,0.35555555555555557,0.044444444444444446
John H. Groberg,10,8,4,1,6,3,22,3,0.36363636363636365,0.18181818181818182,0.045454545454545456,0.2727272727272727,0.13636363636363635
